id,Indicativo,HoraDespegue,RutaSACTA,TipoAeronave,Estela,ProcDesp,PistaDesp
458,ENT72LG,02/05/2023 02:27:34,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B38M,Media,AGENA4R,LEBL-06R
459,RYR4MK,02/05/2023 03:56:27,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
460,VLG2PF,02/05/2023 04:08:59,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,A320,Media,AGENA4R,LEBL-06R
461,TAP39ZL,02/05/2023 04:10:20,DR06RB F01BL BL700 BL720 TASOS BL721 F07BL SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD NATPA MELON CCS **,A21N,Media,SENIA5R,LEBL-06R
462,RYR2ZW,02/05/2023 04:12:20,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
463,RYR1WV,02/05/2023 04:15:56,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
464,SWR1951,02/05/2023 04:17:41,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN DCT PIVUS DCT DIBER **,A321,Media,DALIN4R,LEBL-06R
465,RYR3CD,02/05/2023 04:19:11,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
466,VLG497G,02/05/2023 04:26:23,DR06RB F01BL BL700 BL707 BL708 BL713 BL714 F37BL LOBAR DIRMU VAKIN ELSAP YAKXU VASUM DGO RATAS NEDUS NUBLO SUSOS DCT LOMDA PIVON VX10N VX06N TH19VX,A320,Media,LOBAR4R,LEBL-06R
467,UPS242,02/05/2023 04:27:33,DCT DR06RB DCT F01BL DCT BL700 012(BL720) 008(TASOS) 015(BL721) 004(F31BL) 4046N00138E DCT LOTOS TORDU DIKUT SOPET VL003 MULAT VC08E VC05E TH30VC,B763,Pesada,-,LEBL-06R
468,RYR88BP,02/05/2023 04:29:34,DCT DR06RB DCT F01BL DCT BL700 007(BL707) 014(BL709) 011(BL710) 4147N00150E 007(BL711) 004(BL712) NATPI **,B738,Media,-,LEBL-06R
469,RYR16RE,02/05/2023 04:34:04,DCT DR06RB DCT F01BL DCT BL700 DCT 4119N00231E 000(BL701) 005(BL702) 005(BL703) 005(BL704) 007(BL705) 008(SALON) AGENA MAROT LUMAS **,B738,Media,-,LEBL-06R
470,RYR55NX,02/05/2023 04:35:35,DCT DR06RB DCT F01BL DCT BL700 DCT 4115N00224E 004(BL701) 004(BL702) 004(BL703) 004(BL704) 006(BL705) 009(BL706) DIPES TOSNU LAPIT OSPOK **,B738,Media,-,LEBL-06R
471,VLG1896,02/05/2023 04:40:46,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN PIVUS DIBER **,A320,Media,DALIN4R,LEBL-06R
472,VLG7YT,02/05/2023 04:42:16,DCT DR06RB DCT F01BL DCT BL700 DCT 4111N00220E 008(BL720) 009(TASOS) 017(LARPA) TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A320,Media,-,LEBL-06R
473,RYR374J,02/05/2023 04:43:36,DCT DR06RB DCT F01BL DCT BL700 DCT BL707 DCT 4137N00210E 000(BL709) 011(BL710) 010(BL711) OLOXO **,B738,Media,-,LEBL-06R
474,RYR16PK,02/05/2023 04:44:57,DCT DR06RB DCT F01BL DCT BL700 DCT 4110N00212E 004(BL720) 008(TASOS) 015(BL721) 003(F31BL) LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS MGA BRIKE VJF TAVSI RUNAX **,B738,Media,-,LEBL-06R
475,AFR35CC,02/05/2023 04:46:22,DCT DR06RB DCT F01BL DCT BL700 DCT 4123N00217E 001(BL707) 013(BL709) 011(BL710) 010(BL711) OLOXO **,A321,Media,-,LEBL-06R
476,VLG8SH,02/05/2023 04:47:37,DCT DR06RB DCT F01BL DCT BL700 DCT 4118N00226E 004(BL701) 005(BL702) 005(BL703) 005(BL704) 007(BL705) 008(SALON) AGENA MAROT LUMAS **,A320,Media,-,LEBL-06R
477,RYR1UZ,02/05/2023 04:49:08,DR06RB F01BL BL700 BL707 BL709 BL710 BL711 OLOXO **,B738,Media,OLOXO1R,LEBL-06R
478,EJU15WP,02/05/2023 04:50:28,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN PIVUS DIBER **,A319,Media,DALIN4R,LEBL-06R
479,VLG1292,02/05/2023 04:52:09,DR06RB F01BL BL700 BL707 BL708 BL713 BL714 F37BL LOBAR DIRMU VAKIN ELSAP YAKXU VASUM DGO RATAS NEDUS NUBLO SUSOS ROVAK LARVO BISMU LOMDA GALZO LRA 07LRA ENONU IF21CO FA21CO TH21CO,A320,Media,LOBAR4R,LEBL-06R
480,RYR7UG,02/05/2023 04:54:25,SC06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN PIVUS DIBER **,B738,Media,LEBL1E,LEBL-06R
481,VLG2JT,02/05/2023 04:57:45,DR06RB F01BL BL700 BL707 BL709 BL710 BL711 BL712 F36BL GRAUS POSSY MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN DITOP SSN YESYO SO500 SO10E SO06E TH22SO,A319,Media,GRAUS3R,LEBL-06R
482,VLG164B,02/05/2023 05:02:12,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A321,Media,OLOXO1Q,LEBL-24L
483,VLG80UC,02/05/2023 05:05:18,DCT DR24LB DCT F34BL DCT BL800 DCT NITBA DCT BL804 DCT BL807 021(BL808) 4040N00113E 015(LOTOS) 025(TORDU) 021(DIKUT) 014(SOPET) 029(VLC) 021(SERRA) ASTRO DCT POBOS DCT XEBAR DCT YES DCT MAMIS DCT BAZAS DCT VIBAS DCT MGA DCT PIMOS GALTO **,A321,Media,-,LEBL-24L
484,VLG9BM,02/05/2023 05:07:18,DR24LB F34BL BL800 NITBA BL809 BL810 DUNES SARGO 15MHN6 TETIS F06MH BALIO IF01MH FA01MH TH01MH,A321,Media,DUNES5Q,LEBL-24L
485,VLG2RQ,02/05/2023 05:08:34,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
486,VLG3FM,02/05/2023 05:09:34,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS GDA TOLSU MAR NEPUR IF13MG FA13MG TH13MG,A321,Media,LOTOS5Q,LEBL-24L
487,VLG6246,02/05/2023 05:10:39,DR24LB F34BL BL800 BL805 BL812 DALIN DCT PIVUS DCT DIBER **,A20N,Media,DALIN4Q,LEBL-24L
488,VLG89WB,02/05/2023 05:11:55,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VLA BL814 LRD GRAUS POSSY MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN MALOB CEGAM BLV 13BLV IF12BB FA12BB TH12BB,A320,Media,GRAUS5Q,LEBL-24L
489,DLH62X,02/05/2023 05:13:20,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A321,Media,DALIN4Q,LEBL-24L
490,VLG9FF,02/05/2023 05:14:46,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
491,MGO102,02/05/2023 05:16:31,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,GLEX,Media,OLOXO1Q,LEBL-24L
492,VLG19UW,02/05/2023 05:18:12,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A320,Media,OLOXO1Q,LEBL-24L
493,VLG57HR,02/05/2023 05:19:33,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A321,Media,LARPA5Q,LEBL-24L
494,VLG7PX,02/05/2023 05:20:38,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A20N,Media,NATPI2Q,LEBL-24L
495,IBE30WP,02/05/2023 05:21:54,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A20N,Media,SENIA5Q,LEBL-24L
496,VLG7HQ,02/05/2023 05:23:09,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS IB810 ADX NEGRE IB710 IB711 IB712 IB713 IB730 GISLU BATBI ERMUT FA24IB TH24IB,A321,Media,LARPA5Q,LEBL-24L
497,VLG744Q,02/05/2023 05:24:50,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD BARDI **,A320,Media,SENIA5Q,LEBL-24L
498,VLG31HY,02/05/2023 05:26:15,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A321,Media,DALIN4Q,LEBL-24L
499,VLG34HN,02/05/2023 05:27:41,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,A320,Media,DIPES1Q,LEBL-24L
500,VLG4XA,02/05/2023 05:29:47,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A20N,Media,OLOXO1Q,LEBL-24L
501,VLG6LQ,02/05/2023 05:31:07,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS GDA 06GDA IF09GR FA09GR TH09GR,A20N,Media,LOTOS5Q,LEBL-24L
502,VLG79LD,02/05/2023 05:32:58,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,A20N,Media,DIPES1Q,LEBL-24L
503,VLG6PH,02/05/2023 05:34:14,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
504,VLG3LK,02/05/2023 05:35:34,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD NATPA MELON CCS **,A321,Media,SENIA5Q,LEBL-24L
505,VLG1882,02/05/2023 05:37:25,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA DCT MAROT DCT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
506,VLG21GB,02/05/2023 05:39:36,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VLA BL814 LRD GRAUS POSSY MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN MALOB CEGAM BLV CALCE SNR OBETO RONSI LASKU AMAKA XIDRA LASIT KUTIX TUXAL IF11AS FA11AS TH11AS,A321,Media,GRAUS5Q,LEBL-24L
507,VLG404P,02/05/2023 05:40:46,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A20N,Media,NATPI2Q,LEBL-24L
508,VLG2LR,02/05/2023 05:42:02,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS MGA BRIKE VJF TAVSI RUNAX **,A320,Media,LOTOS5Q,LEBL-24L
509,VLG431R,02/05/2023 05:43:17,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A20N,Media,NATPI2Q,LEBL-24L
510,VLG6203,02/05/2023 05:44:38,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A20N,Media,DALIN4Q,LEBL-24L
511,VLG4PC,02/05/2023 05:45:54,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A320,Media,SENIA5Q,LEBL-24L
512,RYR4TJ,02/05/2023 05:47:29,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,B738,Media,LARPA5Q,LEBL-24L
513,VLG44WN,02/05/2023 05:49:00,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A320,Media,OLOXO1Q,LEBL-24L
514,EJU7105,02/05/2023 05:50:30,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A319,Media,DALIN4Q,LEBL-24L
515,VLG11SD,02/05/2023 05:51:51,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
516,VLG6330,02/05/2023 05:53:06,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
517,VLG49HW,02/05/2023 05:54:21,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
518,DLH05J,02/05/2023 05:56:37,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
519,EJU31EM,02/05/2023 05:58:03,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A319,Media,NATPI2Q,LEBL-24L
520,VLG1ND,02/05/2023 05:59:28,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
521,BAW47C,02/05/2023 06:00:44,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
522,SWN5LC,02/05/2023 06:02:30,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VL003 MULAT VC08E VC05E TH30VC,B738,Media,LOTOS5Q,LEBL-24L
523,VLG2XZ,02/05/2023 06:03:40,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A20N,Media,OLOXO1Q,LEBL-24L
524,VLG1508,02/05/2023 06:05:01,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A319,Media,DALIN4Q,LEBL-24L
525,VLG4SD,02/05/2023 06:06:36,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS MGA BRIKE VJF TAVSI RUNAX **,A320,Media,LOTOS5Q,LEBL-24L
526,EJU93PZ,02/05/2023 06:08:12,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A319,Media,NATPI2Q,LEBL-24L
527,RYR29FB,02/05/2023 06:09:37,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,B738,Media,NATPI2Q,LEBL-24L
528,IBE30GT,02/05/2023 06:11:43,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A320,Media,SENIA5Q,LEBL-24L
529,SWT8168,02/05/2023 06:16:04,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,AT43,Media,LARPA5Q,LEBL-24L
530,VLG8EF,02/05/2023 06:19:15,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS IB810 ADX NEGRE IB710 IB711 IB712 IB713 IB730 GISLU BATBI ERMUT FA24IB TH24IB,A321,Media,LARPA5Q,LEBL-24L
531,VLG7UN,02/05/2023 06:20:26,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A320,Media,OLOXO1Q,LEBL-24L
532,VLG7334,02/05/2023 06:24:27,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS DCT TORDU DCT DIKUT DCT SOPET DCT VLC BEGOX NARGO RESTU DOSEK AMR BOLKA GONZA BERUM **,A320,Media,LOTOS5Q,LEBL-24L
533,KLM18S,02/05/2023 06:29:44,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,B738,Media,OLOXO1Q,LEBL-24L
534,TLJ785K,02/05/2023 06:34:15,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,E35L,Media,DIPES1Q,LEBL-24L
535,VLG42YP,02/05/2023 06:39:47,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A320,Media,LARPA5Q,LEBL-24L
536,RYR2YB,02/05/2023 06:46:59,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A320,Media,LARPA5Q,LEBL-24L
537,RYR4U,02/05/2023 06:48:25,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,B738,Media,NATPI2Q,LEBL-24L
538,THY5HX,02/05/2023 06:50:10,SC24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,B738,Media,LEBL1W,LEBL-24L
539,AEA29WG,02/05/2023 06:52:31,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,B738,Media,LARPA5Q,LEBL-24L
540,RYR7UY,02/05/2023 06:54:17,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO 014(LISAS) 4007N00223E 011(IB810) 009(ADX) 028(NEGRE) 006(IB710) 003(IB711) 003(IB712) 003(IB713) 003(IB730) GISLU DCT BATBI DCT ERMUT DCT FA24IB DCT TH24IB DCT,B738,Media,LARPA5Q,LEBL-24L
541,WMT9393,02/05/2023 06:56:03,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,A21N,Media,DIPES1Q,LEBL-24L
542,YUAPR,02/05/2023 07:08:08,DCT DR24LB DCT F34BL DCT PERAL DCT BL801 DCT BL802 DCT BL803 DCT DUQQI 009(VLA) 012(BL814) 4120N00111E DCT LRD LOBAR DIRMU VAKIN ELSAP YAKXU VASUM DGO NEA ZMR ADORO **,B737,Media,-,LEBL-24L
543,VLG16BZ,02/05/2023 07:09:49,DR24LB F34BL BL800 NITBA BL809 BL810 DUNES SARGO 15MHN6 TETIS F06MH BALIO IF01MH FA01MH TH01MH,A320,Media,DUNES5Q,LEBL-24L
544,EWG84GX,02/05/2023 07:16:52,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
545,VLG9YB,02/05/2023 07:18:17,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET DCT 3945N00004W 023(VLC) VILNA DCT IF10AL DCT FA10AL DCT TH10AL DCT,A320,Media,LOTOS5Q,LEBL-24L
546,VLG80BU,02/05/2023 07:20:08,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VEREG AMOTA ROTEX IF27ZL FA27ZL SPP TH27ZL,A20N,Media,LOTOS5Q,LEBL-24L
547,VLG57MA,02/05/2023 07:21:48,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A320,Media,LARPA5Q,LEBL-24L
548,RYR2FY,02/05/2023 07:23:09,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,B738,Media,AGENA5Q,LEBL-24L
549,VLG1ZN,02/05/2023 07:25:00,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS GDA TOLSU MAR NEPUR IF13MG FA13MG TH13MG,A320,Media,LOTOS5Q,LEBL-24L
550,VLG6BG,02/05/2023 07:26:20,DCT DR24LB DCT F34BL DCT PERAL DCT BL801 DCT BL802 DCT BL803 DCT DUQQI 010(VLA) 012(BL814) 4128N00056E 015(LRD) 018(LOBAR) 007(DIRMU) VAKIN ELSAP YAKXU VASUM DGO RATAS NEDUS NUBLO SUSOS DCT LOMDA STG 12STG IF35ST FA35ST TH35ST,A20N,Media,-,LEBL-24L
551,EJU3778,02/05/2023 07:32:03,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
552,IBE30SW,02/05/2023 07:35:29,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A320,Media,SENIA5Q,LEBL-24L
553,VLG9BP,02/05/2023 07:37:00,DCT DR24LB DCT F34BL DCT PERAL DCT BL801 DCT BL802 DCT BL803 DCT DUQQI DCT VLA 012(BL814) 4123N00110E DCT LRD GRAUS POSSY MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN MALOB CEGAM LEKTO KARMA IF30BB SARRA FA30BB TH30BB,A320,Media,-,LEBL-24L
554,RYR9TK,02/05/2023 07:38:20,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A320,Media,LARPA5Q,LEBL-24L
555,EWG521,02/05/2023 07:39:46,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
556,QTR94P,02/05/2023 07:41:21,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,B788,Pesada,DIPES1Q,LEBL-24L
557,VLG2FM,02/05/2023 07:43:57,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A321,Media,OLOXO1Q,LEBL-24L
558,IBE30FP,02/05/2023 07:46:54,DCT DR24LB DCT F34BL DCT BL800 DCT NITBA DCT BL804 DCT BL806 DCT 4100N00116E/N0434F290 005(BL836) 019(SENIA) 015(DORMI) 014(CRETA) NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A20N,Media,-,LEBL-24L
559,RYR73DZ,02/05/2023 07:48:09,DCT DR24LB DCT F34BL DCT PERAL DCT BL801 DCT BL802 DCT BL803 DCT DUQQI DCT 4118N00145E 016(VIBOK) NATPI **,B738,Media,-,LEBL-24L
560,VLG93NH,02/05/2023 07:51:56,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A320,Media,DALIN4Q,LEBL-24L
561,EWG1BL,02/05/2023 07:59:24,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A320,Media,OLOXO1Q,LEBL-24L
562,VOE23TA,02/05/2023 08:00:35,DCT DR24LB DCT F34BL DCT PERAL DCT BL801 DCT BL802 DCT BL803 DCT DUQQI DCT VLA 012(BL814) 4127N00100E 016(LRD) 026(GRAUS) 010(POSSY) MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN MALOB CEGAM BLV CALCE SNR OBETO RONSI LASKU AMAKA XIDRA LASIT KUTIX TUXAL IF11AS FA11AS TH11AS,A319,Media,-,LEBL-24L
563,TRA3A,02/05/2023 08:02:01,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,B738,Media,OLOXO1Q,LEBL-24L
564,VLG836M,02/05/2023 08:04:06,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,A320,Media,DIPES1Q,LEBL-24L
565,AAL743,02/05/2023 08:05:27,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VLA BL814 LRD LOBAR DIRMU VAKIN ELSAP YAKXU VASUM DGO RATAS NEDUS NUBLO SUSOS DCT STG DCT PASAS **,B788,Pesada,LOBAR6Q,LEBL-24L
566,ICC02,02/05/2023 08:05:37,DR24RB GAVMA BL831 VIBOK BL461 SLL BL443 BL439 BL435 BL431 BL427 BL423 BL419 BL415 TEBLA FA24RB TH24RB DCT BANOL DCT CLE BL443 BL439 BL435 BL431 BL427 BL423 BL419 BL415 TEBLA FA24RB TH24RB,BE20,Ligera,VIBOK1P,LEBL-24R
567,AFR67FJ,02/05/2023 08:08:03,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,BCS3,Media,OLOXO1Q,LEBL-24L
